pve estimate =9.9999e-06	se(pve) =0.041264
pve estimate =0.0228193	se(pve) =0.0457262
pve estimate =9.9999e-06	se(pve) =0.0565138
pve estimate =9.9999e-06	se(pve) =0.0282256
pve estimate =9.9999e-06	se(pve) =0.0775622
pve estimate =9.9999e-06	se(pve) =0.0559815
pve estimate =0.00462102	se(pve) =0.0279718
pve estimate =9.9999e-06	se(pve) =0.0597229
pve estimate =9.9999e-06	se(pve) =0.0529849
pve estimate =9.9999e-06	se(pve) =0.0375997
pve estimate =9.9999e-06	se(pve) =0.0452919
pve estimate =9.9999e-06	se(pve) =0.0623958
pve estimate =9.9999e-06	se(pve) =0.030611
pve estimate =9.9999e-06	se(pve) =0.0641364
pve estimate =9.9999e-06	se(pve) =0.519203
pve estimate =9.9999e-06	se(pve) =0.0279698
pve estimate =0.0206351	se(pve) =0.0297956
pve estimate =0.0117982	se(pve) =0.0318898
pve estimate =9.9999e-06	se(pve) =0.0172357
pve estimate =9.9999e-06	se(pve) =0.0583987
pve estimate =0.0946757	se(pve) =0.0818313
pve estimate =0.0568528	se(pve) =0.0641526
pve estimate =0.0156815	se(pve) =0.0428213
pve estimate =0.0295447	se(pve) =0.10972
pve estimate =0.0323214	se(pve) =0.0456705
pve estimate =0.0300606	se(pve) =0.0380527
pve estimate =0.0580588	se(pve) =0.0542029
pve estimate =9.9999e-06	se(pve) =0.113206
pve estimate =0.00191869	se(pve) =0.0638514
pve estimate =0.0424729	se(pve) =0.0832536
pve estimate =0.0577031	se(pve) =0.0801524
pve estimate =0.0598595	se(pve) =0.0616706
pve estimate =9.9999e-06	se(pve) =0.0794273
pve estimate =9.9999e-06	se(pve) =0.0328831
pve estimate =0.0307133	se(pve) =0.0452944
pve estimate =9.9999e-06	se(pve) =0.0488252
pve estimate =0.00412787	se(pve) =0.0265029
pve estimate =0.0280417	se(pve) =0.0473669
pve estimate =9.9999e-06	se(pve) =0.0539752
pve estimate =0.0258889	se(pve) =0.0470555
pve estimate =0.112764	se(pve) =0.0822667
pve estimate =0.0357474	se(pve) =0.0762638
pve estimate =0.0309323	se(pve) =0.043165
pve estimate =0.0340087	se(pve) =0.0459741
pve estimate =0.0301443	se(pve) =0.0423491
pve estimate =0.0436832	se(pve) =0.0534218
pve estimate =0.00519647	se(pve) =0.0386386
pve estimate =9.9999e-06	se(pve) =0.0337639
pve estimate =9.9999e-06	se(pve) =0.0278064
pve estimate =0.0432882	se(pve) =0.0429651
pve estimate =0.0837468	se(pve) =0.0617802
pve estimate =9.9999e-06	se(pve) =0.0433352
pve estimate =9.9999e-06	se(pve) =0.0362303
pve estimate =9.9999e-06	se(pve) =0.0540675
pve estimate =9.9999e-06	se(pve) =0.022736
pve estimate =0.0272751	se(pve) =0.0469782
pve estimate =0.00945682	se(pve) =0.0664645
pve estimate =9.9999e-06	se(pve) =0.0895302
pve estimate =0.00270857	se(pve) =0.0373085
pve estimate =9.9999e-06	se(pve) =0.0641007
pve estimate =9.9999e-06	se(pve) =0.0204177
pve estimate =9.9999e-06	se(pve) =0.0317564
pve estimate =0.0143441	se(pve) =0.0453822
pve estimate =0.00119522	se(pve) =0.0173655
pve estimate =0.0024731	se(pve) =0.0445334
pve estimate =9.9999e-06	se(pve) =0.0362685
pve estimate =9.9999e-06	se(pve) =0.0307837
pve estimate =9.9999e-06	se(pve) =0.0370837
pve estimate =9.9999e-06	se(pve) =0.0872347
pve estimate =9.9999e-06	se(pve) =0.0365763
pve estimate =0.0800518	se(pve) =0.0861316
pve estimate =9.9999e-06	se(pve) =0.1463
pve estimate =0.0888364	se(pve) =0.107651
pve estimate =0.0142156	se(pve) =0.0522862
pve estimate =0.0133924	se(pve) =0.0423703
pve estimate =0.0438546	se(pve) =0.0754077
pve estimate =0.0666368	se(pve) =0.0794149
pve estimate =9.9999e-06	se(pve) =0.0583093
pve estimate =0.00068566	se(pve) =0.0290214
pve estimate =0.103105	se(pve) =0.095377
pve estimate =0.00942542	se(pve) =0.0389881
pve estimate =9.9999e-06	se(pve) =0.0616587
pve estimate =9.9999e-06	se(pve) =0.0509118
pve estimate =9.9999e-06	se(pve) =0.0410093
pve estimate =0.0368901	se(pve) =0.051347
pve estimate =9.9999e-06	se(pve) =0.158791
pve estimate =0.0934502	se(pve) =0.0687742
pve estimate =9.9999e-06	se(pve) =0.0257426
pve estimate =9.9999e-06	se(pve) =0.0521212
pve estimate =9.9999e-06	se(pve) =0.313836
pve estimate =9.9999e-06	se(pve) =0.0226437
pve estimate =9.9999e-06	se(pve) =0.180098
pve estimate =9.9999e-06	se(pve) =0.0662911
pve estimate =9.9999e-06	se(pve) =0.024349
pve estimate =9.9999e-06	se(pve) =0.0496297
pve estimate =9.9999e-06	se(pve) =0.118131
pve estimate =9.9999e-06	se(pve) =0.0274329
pve estimate =9.9999e-06	se(pve) =0.0845783
pve estimate =0.0381477	se(pve) =0.0681054
pve estimate =9.9999e-06	se(pve) =0.0230392
pve estimate =0.0539964	se(pve) =0.115156
pve estimate =0.0509788	se(pve) =0.0821878
pve estimate =9.9999e-06	se(pve) =0.0880464
pve estimate =0.0350518	se(pve) =0.053225
pve estimate =0.0282615	se(pve) =0.0532871
pve estimate =9.9999e-06	se(pve) =0.0238233
pve estimate =9.9999e-06	se(pve) =0.0528706
pve estimate =9.9999e-06	se(pve) =0.0903291
pve estimate =9.9999e-06	se(pve) =0.085271
pve estimate =0.0632199	se(pve) =0.0688382
pve estimate =9.9999e-06	se(pve) =0.290951
pve estimate =9.9999e-06	se(pve) =0.0244744
pve estimate =9.9999e-06	se(pve) =0.0811062
pve estimate =9.9999e-06	se(pve) =0.113498
pve estimate =9.9999e-06	se(pve) =0.0241482
pve estimate =9.9999e-06	se(pve) =0.0786441
pve estimate =9.9999e-06	se(pve) =0.0496691
pve estimate =0.0124847	se(pve) =0.0249537
pve estimate =9.9999e-06	se(pve) =0.0312354
pve estimate =0.0260247	se(pve) =0.0369004
pve estimate =0.0248669	se(pve) =0.034116
pve estimate =9.9999e-06	se(pve) =0.0486618
pve estimate =0.00420449	se(pve) =0.0447919
pve estimate =9.9999e-06	se(pve) =0.0360819
pve estimate =9.9999e-06	se(pve) =0.0408292
pve estimate =9.9999e-06	se(pve) =0.0465116
pve estimate =0.0137779	se(pve) =0.0268351
pve estimate =9.9999e-06	se(pve) =0.0641126
pve estimate =9.9999e-06	se(pve) =0.0423874
pve estimate =9.9999e-06	se(pve) =0.020355
pve estimate =0.00721798	se(pve) =0.0501537
pve estimate =0.0067341	se(pve) =0.129978
