"plant_ID","strain_ID","line","exp","chloro1","height1","leaf1","chloro2","height2","leaf2","nod","nod.weight","shoot","root","rack","pos","type","add","strains","region","pop","plant_origin","lat","long","line_exp","soil","compat"
"525","67","DZA","1",45.9,4.1,4,41.1,NA,NA,42,1,0.32,0.2,"A7","7","treated","MAG","MAG67","FRANCE","4","F20089",43.12198333,3.095533333,"DZA_1","4",1
"631","67","DZA","1",47.8,5.5,6,31.8,NA,NA,45,2.2,0.88,1.29,"E10","1","treated","MAG","MAG67","FRANCE","4","F20089",43.12198333,3.095533333,"DZA_1","4",1
"81","69","DZA","1",52.7,5.9,4,36.6,NA,NA,40,2.7,0.47,0.28,"B2","8","treated","MAG","MAG69","FRANCE","3","F11005",43.12233333,3.076716667,"DZA_1","3",1
"246","69","DZA","1",50,3.7,6,47.7,NA,NA,39,3.2,0.55,0.54,"D11","1","treated","MAG","MAG69","FRANCE","3","F11005",43.12233333,3.076716667,"DZA_1","3",1
"433","69","DZA","1",48.6,4.8,4,48.1,NA,NA,38,3.4,0.69,3.2,"D1","9","treated","MAG","MAG69","FRANCE","3","F11005",43.12233333,3.076716667,"DZA_1","3",1
"265","71","DZA","1",44.5,4.7,6,44.5,NA,NA,76,2.8,0.85,1.77,"E6","1","treated","MAG","MAG71","FRANCE","5","F20089",42.82301667,2.927316667,"DZA_1","5",1
"298","71","DZA","1",45.6,4.6,5,43.2,NA,NA,42,1.8,0.39,0.47,"C4","9","treated","MAG","MAG71","FRANCE","5","F20089",42.82301667,2.927316667,"DZA_1","5",1
"535","71","DZA","1",51.6,4.9,7,41.4,NA,NA,66,4,0.57,0.67,"B6","4","treated","MAG","MAG71","FRANCE","5","F20089",42.82301667,2.927316667,"DZA_1","5",1
"217","72","DZA","1",45.6,5.3,5,39.9,NA,NA,61,2.8,0.58,0.55,"E1","2","treated","MAG","MAG72","FRANCE","6","F66009",42.74198333,2.81485,"DZA_1","6",1
"220","72","DZA","1",46.3,4.4,5,50.2,NA,NA,24,3.1,0.42,0.22,"A5","9","treated","MAG","MAG72","FRANCE","6","F66009",42.74198333,2.81485,"DZA_1","6",1
"575","72","DZA","1",46.4,4.4,6,51.7,NA,NA,35,2.1,0.47,0.88,"C8","9","treated","MAG","MAG72","FRANCE","6","F66009",42.74198333,2.81485,"DZA_1","6",1
"145","73","DZA","1",43.3,4.8,6,47.8,NA,NA,34,2.5,0.61,0.45,"A4","5","treated","MAG","MAG73","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"251","73","DZA","1",45.4,2.4,4,43,NA,NA,31,2.7,0.46,0.67,"E3","10","treated","MAG","MAG73","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"524","73","DZA","1",49.9,4.3,6,44.3,NA,NA,56,3.2,0.53,0.53,"C5","4","treated","MAG","MAG73","FRANCE","4","ESP174",43.12226667,3.096033333,"DZA_1","4",1
"317","78","DZA","1",46,4.5,4,42.3,NA,NA,73,1.1,0.6,0.52,"D11","6","treated","MAG","MAG78","FRANCE","7","F20089",42.58948333,2.784833333,"DZA_1","7",1
"557","78","DZA","1",50.6,4.1,7,40.6,NA,NA,46,1.8,0.49,0.28,"B7","4","treated","MAG","MAG78","FRANCE","7","F20089",42.58948333,2.784833333,"DZA_1","7",1
"675","78","DZA","1",51.8,4,7,46.8,NA,NA,102,1.8,0.48,1.94,"C7","10","treated","MAG","MAG78","FRANCE","7","F20089",42.58948333,2.784833333,"DZA_1","7",1
"328","79","DZA","1",50.3,3.4,4,33.8,NA,NA,42,2.5,0.62,NA,"E12","6","treated","MAG","MAG79","SPAIN","8","F20050",38.41155,-1.0165,"DZA_1","8",1
