plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
87,285,DZA,1,4.1,5,50,NA,NA,44.9,40,3.3,0.41,0.37
124,285,DZA,1,5,5,42.9,NA,NA,48.2,71,1.7,0.32,0.11
650,285,DZA,1,4.3,5,40.8,NA,NA,36.4,69,2.2,0.36,0.88
385,286,DZA,1,4.1,4,53.4,NA,NA,45.3,24,4.7,0.52,0.67
551,286,DZA,1,5.2,5,52.9,NA,NA,45.8,36,4.3,0.58,0.4
629,286,DZA,1,1.3,3,NA,NA,NA,41,14,1.1,0.01,0.01
162,303,DZA,1,2.8,5,44.2,NA,NA,46.7,40,2.8,0.31,0.13
273,303,DZA,1,2.9,4,48.3,NA,NA,47.5,40,0.4,0.39,1.09
364,303,DZA,1,3.5,6,45.5,NA,NA,46.6,34,1.5,0.23,0.04
117,313,DZA,1,4.1,4,50.9,NA,NA,47.1,51,3.3,0.52,0.67
403,313,DZA,1,4.4,6,48.7,NA,NA,46,58,1.6,0.37,0.27
656,313,DZA,1,3.6,4,48.7,NA,NA,36.9,58,2.3,0.38,0.2
2,317,DZA,1,4.3,5,51.8,NA,NA,38.7,NA,NA,NA,NA
