plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
1541,522,DZA,3,4.4,4,30,8.2,6,24.2,0,0,0.06,0.08
1542,88,DZA,3,8.9,15,50.8,16.1,43,50,95,2.53,1.62,0.59
1543,225,DZA,3,4.8,5,30.4,8,6,23.4,130,0,0.07,0.04
1544,87,DZA,3,7.7,15,36.9,12.9,52,46.5,40,2.49,1.37,0.32
1545,192C,DZA,3,7.1,7,43.5,12,27,54.1,74,1.66,1,0.32
1546,80,DZA,3,7.4,10,44.4,11.7,26,51.7,48,1.37,0.98,0.54
1547,230,DZA,3,5.7,7,41.5,14.4,19,48.7,42,0.74,0.69,0.31
1548,control_in,DZA,3,2.2,1,NA,NA,NA,NA,0,0,0.004,0.02
1549,154,DZA,3,7,10,44.5,14,23,57.7,57,2.23,0.77,0.35
1550,17,DZA,3,4.9,4,47.6,12.8,16,60.1,31,2.33,0.47,0.24
1551,control_in,DZA,3,2.4,2,NA,2.5,2,NA,0,0,0.008,0.019
1552,43,DZA,3,6.8,11,51.7,13.5,26,56.8,30,2.08,0.98,0.61
1553,control_in,DZA,3,NA,2,NA,2.1,2,NA,0,0,0.008,0.01
1554,control_in,DZA,3,1.8,4,24.3,8.4,4,25.7,1,0,0.03,0.04
1555,73,DZA,3,6.5,5,42.3,12.8,12,55.4,28,3.8,0.42,0.23
1556,88,DZA,3,3.8,4,NA,9.1,7,47,33,1.26,0.21,0.16
1557,88,DZA,3,7.2,8,36.9,12.3,21,58.2,72,1.01,0.65,0.41
1558,476,DZA,3,5.1,6,NA,11.1,17,52.8,33,2.05,0.61,0.28
1559,231,DZA,3,3.8,7,36.4,9.5,15,47.4,56,1.71,0.54,0.26
1560,14,DZA,3,6.3,7,43.5,14.4,18,47.1,39,2.15,0.61,0.33
1561,322,DZA,3,2.2,3,NA,5.4,5,46,37,1.47,0.15,0.08
1562,control_in,DZA,3,3.9,3,22.6,5.5,4,28.3,0,0,0.03,0.05
1563,71,DZA,3,6,8,42.7,12.8,26,53.1,32,2.71,1.15,0.47
1564,93,DZA,3,6.9,9,42.2,10.6,25,53.3,27,3.05,0.87,0.36
1565,373,DZA,3,4.1,4,38,12.5,12,43.9,43,2.56,0.52,0.3
1566,762A,DZA,3,7.3,20,44.3,13.1,49,63.7,54,4.28,1.87,0.51
1567,control_in,DZA,3,1.1,2,NA,1.3,1,NA,0,0,0.0068,0.01
1568,79,DZA,3,7.6,18,44.5,14.4,41,49,35,3.96,1.46,0.48
1569,714B,DZA,3,7.1,7,47.7,13,26,56.2,57,1.41,0.85,0.35
1570,control_in,DZA,3,1.4,2,NA,1.4,2,NA,0,0,0.0019,0.004
1571,control_in,DZA,3,2.8,3,NA,3.3,2,28.3,0,0,0.019,0.02
1572,336,DZA,3,4.8,2,37.9,11.8,11,58.6,17,5.96,0.54,0.37
1573,123,DZA,3,5.8,11,57,11.7,26,61.3,42,4.63,1.12,0.7
1574,758A,DZA,3,5.9,7,52.9,11.1,25,58.3,37,2.19,0.77,0.37
1575,59,DZA,3,6.4,5,44.3,14,18,58.9,10,2.84,NA,0.35
1576,72,DZA,3,6.5,5,37.9,13.7,14,62.7,25,3.95,0.48,0.19
1577,5,DZA,3,6.6,7,43,13.8,19,55.5,20,4.04,0.71,0.3
1578,191,DZA,3,11.3,14,45,19.4,31,60.4,41,3.05,1.54,0.3
1579,522,DZA,3,1.9,2,NA,2.9,1,NA,0,0,0.01,0.03
1580,318,DZA,3,7.7,16,52.6,14.1,30,54.9,24,2.94,1.39,0.27
1581,86,DZA,3,7.8,8,44.9,15.6,33,57.7,21,2.84,0.79,0.23
1582,121,DZA,3,0.5,2,NA,2.5,2,NA,4,0.32,0.016,0.005
